,gender,age,amount_music,life_enjoyment,resilience,balanced_life,emotional_flex,self_actualization,trauma,total_health,health_categorical,energy,dance,liveness,valence,tempo,instrumental,acoustic,popularity,genres
0,1,1,1,4,3,5,3,6,0,21,1.0,0.6409999999999999,0.82,0.102,0.395,117.97399999999999,5.07e-05,0.0662,77.0,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
1,1,1,1,6,6,3,5,5,0,25,1.0,0.547,0.752,0.107,0.161,111.962,0.00024900000000000004,0.113,52.0,"['hip hop', 'rap', 'southern hip hop', 'trap', 'vapor trap']"
2,1,1,1,6,6,3,5,5,0,25,1.0,0.655,0.526,0.11599999999999999,0.156,121.12700000000001,0.0,0.0566,65.0,"['hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music', 'underground hip hop']"
3,0,1,0,5,5,4,4,5,0,23,1.0,0.774,0.6920000000000001,0.141,0.7709999999999999,128.033,1.0199999999999999e-05,0.0149,47.0,"['canadian pop', 'indie poptimism', 'modern alternative rock', 'modern rock']"
4,1,1,2,3,6,5,5,5,0,24,1.0,0.516,0.631,0.264,0.254,143.77700000000004,0.0,0.738,67.0,"['k-pop', 'korean r&b']"
5,1,1,2,3,6,5,5,5,0,24,1.0,0.831,0.715,0.132,0.805,100.006,3.84e-06,0.223,63.0,"['k-hop', 'k-pop', 'korean pop', 'korean r&b']"
6,1,1,2,3,6,5,5,5,0,24,1.0,0.87,0.6990000000000001,0.0507,0.7290000000000001,96.945,0.0,0.0856,51.0,"['k-hop', 'k-pop', 'korean pop', 'korean r&b']"
7,0,1,0,2,5,2,1,5,1,15,0.0,0.813,0.302,0.368,0.33899999999999997,126.965,0.0827,0.255,0.0,"['peruvian indie', 'peruvian rock']"
8,0,1,0,2,5,2,1,5,1,15,0.0,0.265,0.7240000000000001,0.063,0.244,117.956,0.846,0.9440000000000001,6.0,[]
9,0,1,0,2,5,2,1,5,1,15,0.0,0.9109999999999999,0.35200000000000004,0.0995,0.23600000000000002,148.033,0.0,0.00121,83.0,"['alternative rock', 'dance rock', 'modern rock', 'permanent wave', 'rock']"
10,1,1,0,3,4,4,5,6,0,22,1.0,0.38299999999999995,0.48,0.125,0.265,169.86900000000003,9.59e-06,0.20199999999999999,38.0,"['canadian ccm', 'ccm', 'christian alternative rock', 'christian music', 'christian punk', 'christian rock', 'neo mellow', 'pop punk', 'pop rock']"
11,1,1,0,3,4,4,5,6,0,22,1.0,0.8909999999999999,0.5539999999999999,0.0905,0.45399999999999996,154.012,1.47e-05,0.0686,52.0,"['acoustic pop', 'ccm', 'christian alternative rock', 'christian music', 'christian rock', 'indiecoustica', 'neo mellow', 'pop rock', 'worship']"
12,1,1,0,3,4,4,5,6,0,22,1.0,0.948,0.501,0.128,0.529,125.993,7.240000000000001e-05,0.000509,41.0,"['ccm', 'christian alternative rock', 'christian music', 'christian rock', 'neo mellow', 'pop rock', 'post-grunge', 'worship']"
13,1,1,1,4,5,2,5,4,0,20,1.0,0.725,0.602,0.0786,0.304,122.803,0.0,0.174,76.0,"['dwn trap', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']"
14,0,1,1,4,4,4,4,5,0,21,1.0,0.209,0.5720000000000001,0.35600000000000004,0.446,80.069,0.0,0.765,74.0,"['alternative r&b', 'hip hop', 'lgbtq+ hip hop', 'neo soul', 'pop']"
15,0,1,1,4,4,4,4,5,0,21,1.0,0.7090000000000001,0.7070000000000001,0.27399999999999997,0.501,89.094,0.0,0.763,75.0,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
16,1,1,2,3,2,4,3,1,0,13,0.0,0.789,0.753,0.325,0.65,126.008,0.111,0.007790000000000002,38.0,"['alternative dance', 'big beat', 'disco house', 'electronic', 'new rave', 'vocal house']"
17,1,1,2,3,2,4,3,1,0,13,0.0,0.449,0.736,0.0898,0.326,80.126,0.000162,0.33,86.0,"['indie r&b', 'pop', 'rap']"
18,1,1,2,3,2,4,3,1,0,13,0.0,0.41,0.6509999999999999,0.10800000000000001,0.12,128.049,0.0,0.368,52.0,"['indie r&b', 'trap soul', 'underground hip hop']"
19,1,1,2,2,5,3,5,5,0,20,1.0,0.981,0.519,0.0903,0.773,130.039,0.000155,0.0013599999999999999,60.0,"['pop punk', 'post-teen pop']"
20,1,1,2,2,5,3,5,5,0,20,1.0,0.462,0.69,0.113,0.325,157.655,0.00218,0.34299999999999997,82.0,"['hip hop', 'pop rap', 'rap']"
21,1,1,2,2,5,3,5,5,0,20,1.0,0.231,0.336,0.188,0.429,168.685,0.0,0.9420000000000001,80.0,"['dance pop', 'pop', 'post-teen pop']"
22,0,1,2,4,6,6,5,5,0,26,1.0,0.5710000000000001,0.745,0.371,0.319,129.934,0.0,0.6629999999999999,65.0,"['electropop', 'indie electro-pop', 'indie poptimism', 'vapor soul']"
23,1,1,2,4,5,2,5,5,1,21,1.0,0.19899999999999998,0.19,0.127,0.126,153.287,0.8690000000000001,0.943,34.0,"['new age', 'operatic pop']"
24,1,1,0,2,3,2,4,4,0,15,0.0,0.7340000000000001,0.58,0.196,0.175,111.962,0.0,0.0187,45.0,['german pop rock']
25,1,1,0,2,3,2,4,4,0,15,0.0,0.675,0.564,0.11800000000000001,0.145,102.992,0.767,0.16699999999999998,40.0,"['german soundtrack', 'soundtrack']"
26,1,1,0,2,3,2,4,4,0,15,0.0,0.9590000000000001,0.35700000000000004,0.0825,0.364,179.644,3.91e-05,6.93e-06,59.0,"['bow pop', 'emo', 'modern rock', 'pop punk', 'pop rock', 'post-grunge']"
27,0,1,1,4,4,5,4,5,0,22,1.0,0.654,0.565,0.122,0.235,111.96799999999999,1.8000000000000001e-06,0.0542,64.0,"['dance pop', 'pop']"
28,0,1,1,4,4,5,4,5,0,22,1.0,0.768,0.605,0.308,0.414,100.209,0.0,0.0865,81.0,"['canadian pop', 'dance pop', 'pop', 'post-teen pop']"
29,1,1,1,6,6,4,5,5,0,26,1.0,0.9109999999999999,0.7190000000000001,0.0592,0.873,83.05799999999998,0.0,0.489,38.0,[]
30,1,1,1,6,6,4,5,5,0,26,1.0,0.875,0.612,0.32799999999999996,0.898,179.893,0.0,0.254,48.0,['punjabi pop']
31,1,1,1,1,0,3,2,4,1,10,0.0,0.14300000000000002,0.175,0.0915,0.0662,173.33,0.9329999999999999,0.937,52.0,"['downtempo', 'ninja', 'nu jazz', 'trip hop']"
32,1,1,1,1,0,3,2,4,1,10,0.0,0.726,0.294,0.303,0.6509999999999999,180.169,0.9690000000000001,0.377,33.0,"['chillhop', 'downtempo', 'japanese chillhop', 'japanese old school hip hop', 'jazz rap']"
33,1,1,1,1,0,3,2,4,1,10,0.0,0.79,0.5,0.639,0.93,171.67,0.0,0.17300000000000001,46.0,"['electro swing', 'nu jazz']"
34,0,1,2,0,2,5,2,5,0,14,0.0,0.461,0.915,0.0771,0.5820000000000001,118.01299999999999,0.0595,0.006409999999999999,47.0,"['deep disco house', 'deep house', 'house', 'microhouse']"
35,0,1,2,0,2,5,2,5,0,14,0.0,0.9470000000000001,0.742,0.0721,0.88,130.043,0.0221,0.0906,34.0,"['desi hip hop', 'desi pop', 'hindi hip hop', 'indian edm', 'indian indie']"
36,0,1,2,0,2,5,2,5,0,14,0.0,0.6990000000000001,0.604,0.341,0.3670000000000001,128.056,0.0,0.0208,44.0,"['big room', 'dance pop', 'deep big room', 'dutch house', 'edm', 'electro house', 'house', 'pop', 'progressive electro house', 'progressive house', 'tropical house']"
37,1,1,2,4,5,2,4,4,0,19,1.0,0.314,0.6809999999999999,0.1,0.166,139.99200000000002,9.82e-06,0.2,73.0,"['hip hop', 'melodic rap', 'mississippi hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
38,1,1,2,4,5,2,4,4,0,19,1.0,0.82,0.363,0.32,0.8490000000000001,75.69800000000002,0.00424,0.0125,36.0,"['album rock', 'blues-rock', 'bubblegum pop', 'classic canadian rock', 'classic rock', 'country rock', 'folk rock', 'hard rock', 'mellow gold', 'psychedelic rock', 'rock', 'roots rock', 'soft rock', 'southern rock']"
39,1,1,0,2,5,3,5,6,0,21,1.0,0.39299999999999996,0.596,0.539,0.36,107.425,0.0,0.637,73.0,"['pop rap', 'rap']"
40,1,1,0,2,5,3,5,6,0,21,1.0,0.524,0.748,0.111,0.6609999999999999,95.01,0.0,0.414,88.0,"['edm', 'electropop', 'pop', 'tropical house']"
41,1,1,1,5,4,4,5,4,0,22,1.0,0.741,0.474,0.115,0.402,174.1,0.0,0.0602,76.0,"['pop rap', 'rap']"
42,1,1,1,5,4,4,5,4,0,22,1.0,0.133,0.34600000000000003,0.109,0.332,174.291,1.11e-05,0.966,56.0,['neo mellow']
43,1,1,2,4,5,4,6,6,0,25,1.0,0.405,0.44,0.11900000000000001,0.174,83.78,0.8759999999999999,0.97,46.0,['progressive house']
