,Unnamed: 0,Unnamed: 0.1,id,songs,song,artist,energy,dance,liveness,valence,tempo,instrumental,acoustic,popularity,genres
0,5,5,1,New level asap ferg,New Level,A$AP Ferg,0.655,0.526,0.116,0.156,121.127,0.0,0.0566,65.0,"['hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music', 'underground hip hop']"
1,9,9,3,Eyes Nose Lips TaeYang,"눈,코,입(Eyes, Noes, Lips)",TAEYANG,0.516,0.631,0.264,0.254,143.77700000000004,0.0,0.738,67.0,"['k-pop', 'korean r&b']"
2,10,10,3,Me Like Yuh Jay Park,Me Like Yuh,Jay Park,0.831,0.715,0.132,0.805,100.006,3.84e-06,0.223,63.0,"['k-hop', 'k-pop', 'korean pop', 'korean r&b']"
3,11,11,3,Aquaman Jay Park,Aquaman,Jay Park,0.87,0.6990000000000001,0.0507,0.7290000000000001,96.945,0.0,0.0856,51.0,"['k-hop', 'k-pop', 'korean pop', 'korean r&b']"
4,12,12,4,Sugar Wanderlust,Sweet Sugar,Wanderlust,0.813,0.302,0.368,0.339,126.965,0.0827,0.255,0.0,"['peruvian indie', 'peruvian rock']"
5,13,13,4,Blue Jeans Lana Del Ray,Blue Jeans,Piano Tribute Players,0.265,0.7240000000000001,0.063,0.244,117.956,0.846,0.944,6.0,[]
6,15,15,5,Look on Up Relient K,Look on Up,Relient K,0.383,0.48,0.125,0.265,169.86900000000003,9.59e-06,0.202,38.0,"['canadian ccm', 'ccm', 'christian alternative rock', 'christian music', 'christian punk', 'christian rock', 'neo mellow', 'pop punk', 'pop rock']"
7,16,16,5,Money and Fame NeedToBreathe,MONEY & FAME,NEEDTOBREATHE,0.8909999999999999,0.5539999999999999,0.0905,0.454,154.012,1.47e-05,0.0686,52.0,"['acoustic pop', 'ccm', 'christian alternative rock', 'christian music', 'christian rock', 'indiecoustica', 'neo mellow', 'pop rock', 'worship']"
8,17,17,5,Awakening Switchfoot,Awakening,Switchfoot,0.948,0.501,0.128,0.529,125.993,7.240000000000001e-05,0.000509,41.0,"['ccm', 'christian alternative rock', 'christian music', 'christian rock', 'neo mellow', 'pop rock', 'post-grunge', 'worship']"
9,22,22,7,0 to 100/ The Catch Up Drake,0 To 100 / The Catch Up,Drake,0.7090000000000001,0.7070000000000001,0.274,0.501,89.094,0.0,0.763,75.0,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
10,27,27,9,Kids in the Dark,Kids In The Dark,All Time Low,0.981,0.519,0.0903,0.773,130.039,0.000155,0.00136,60.0,"['pop punk', 'post-teen pop']"
11,28,28,9,Hurt,Hurt Feelings,Mac Miller,0.462,0.69,0.113,0.325,157.655,0.00218,0.343,82.0,"['hip hop', 'pop rap', 'rap']"
12,29,29,9,Angel,raindrops (an angel cried),Ariana Grande,0.231,0.336,0.188,0.429,168.685,0.0,0.942,80.0,"['dance pop', 'pop', 'post-teen pop']"
13,32,32,10,No One Mothica (Kayge Calypso & DUNN Remix),No One - Kayge Calypso & DUNN Remix,Mothica,0.5710000000000001,0.745,0.371,0.319,129.934,0.0,0.6629999999999999,65.0,"['electropop', 'indie electro-pop', 'indie poptimism', 'vapor soul']"
14,35,35,11,End of august yanni,The End Of August,Yanni,0.199,0.19,0.127,0.126,153.287,0.8690000000000001,0.943,34.0,"['new age', 'operatic pop']"
15,36,36,12,Monsoon Tokio Hotel,Monsoon,Tokio Hotel,0.7340000000000001,0.58,0.196,0.175,111.962,0.0,0.0187,45.0,['german pop rock']
16,37,37,12,Imagine the Fire Hans Zimmer,Imagine the Fire,Hans Zimmer,0.675,0.564,0.118,0.145,102.992,0.767,0.16699999999999998,40.0,"['german soundtrack', 'soundtrack']"
17,38,38,12,Way Away Yellowcard,Way Away,Yellowcard,0.959,0.35700000000000004,0.0825,0.364,179.644,3.91e-05,6.93e-06,59.0,"['bow pop', 'emo', 'modern rock', 'pop punk', 'pop rock', 'post-grunge']"
18,40,40,13,Summertime Sadness,Summertime Sadness,Lana Del Rey,0.654,0.565,0.122,0.235,111.968,1.8e-06,0.0542,64.0,"['dance pop', 'pop']"
19,41,41,13,Sorry Justin Bieber ,Sorry,Justin Bieber,0.768,0.605,0.308,0.414,100.209,0.0,0.0865,81.0,"['canadian pop', 'dance pop', 'pop', 'post-teen pop']"
20,42,42,14,Peg pugg deep karan,#Peg Pugg,Deep Karan,0.911,0.7190000000000001,0.0592,0.873,83.05799999999998,0.0,0.489,38.0,[]
21,45,45,15,Arrival of the birds the cinematic orchestra,Arrival of the Birds,The Cinematic Orchestra,0.14300000000000002,0.175,0.0915,0.0662,173.33,0.933,0.937,52.0,"['downtempo', 'ninja', 'nu jazz', 'trip hop']"
22,50,50,16,Lighthouse Nicky Romero,Lighthouse - Radio Edit,Nicky Romero,0.6990000000000001,0.604,0.341,0.3670000000000001,128.056,0.0,0.0208,44.0,"['big room', 'dance pop', 'deep big room', 'dutch house', 'edm', 'electro house', 'house', 'pop', 'progressive electro house', 'progressive house', 'tropical house']"
23,53,53,17,used to it future,In America,The Guess Who,0.82,0.363,0.32,0.8490000000000001,75.69800000000002,0.00424,0.0125,36.0,"['album rock', 'blues-rock', 'bubblegum pop', 'classic canadian rock', 'classic rock', 'country rock', 'folk rock', 'hard rock', 'mellow gold', 'psychedelic rock', 'rock', 'roots rock', 'soft rock', 'southern rock']"
24,58,58,19,Famous kanye,Famous,Kanye West,0.741,0.474,0.115,0.402,174.1,0.0,0.0602,76.0,"['pop rap', 'rap']"
25,60,60,20,You Left Me Croquet Club,You Left Me,Croquet Club,0.405,0.44,0.119,0.174,83.78,0.8759999999999999,0.97,46.0,['progressive house']
26,61,61,20,Steppin' Out Kaskade,Steppin' Out,Kaskade,0.915,0.7020000000000001,0.163,0.909,128.012,0.0109,0.133,32.0,"['big room', 'chicago house', 'dance pop', 'edm', 'electro house', 'pop', 'progressive electro house', 'progressive house', 'tropical house', 'vocal house']"
27,62,62,20,Sæglópur Sigur Rós,Sæglópur,Sigur Rós,0.483,0.329,0.498,0.0702,101.332,0.807,0.0433,42.0,"['bow pop', 'chamber pop', 'compositional ambient', 'dream pop', 'ethereal wave', 'icelandic pop', 'icelandic rock', 'indie folk', 'melancholia', 'post-rock']"
28,64,64,21,Can't Forget You San Holo,Can't Forget You (feat. The Nicholas),San Holo,0.76,0.5529999999999999,0.364,0.213,131.986,0.00772,0.00282,52.0,"['bass trap', 'edm', 'electronic trap', 'pop', 'tropical house']"
29,67,67,22,Dat $tick Rich Chigga,Dat $tick,Rich Brian,0.508,0.923,0.126,0.168,108.039,1.21e-05,0.104,73.0,"['indonesian hip hop', 'underground hip hop', 'vapor trap']"
30,68,68,22,Dissolve Absofacto,Dissolve,Absofacto,0.5820000000000001,0.688,0.0663,0.872,85.486,0.000157,0.23,57.0,"['indie psych-pop', 'indie psych-rock', 'shimmer psych']"
31,70,70,23,11 Blocks Wrabel,11 Blocks,Wrabel,0.711,0.5529999999999999,0.142,0.293,99.515,0.0,0.0216,67.0,"['dance pop', 'electropop', 'indie poptimism', 'modern rock', 'neo mellow', 'pop', 'post-teen pop', 'viral pop']"
32,71,71,23,Crazier Taylor Swift,Crazier,Taylor Swift,0.544,0.452,0.104,0.158,133.042,5.33e-06,0.0631,58.0,"['dance pop', 'pop', 'post-teen pop']"
33,72,72,24,Justified A Day to Remember,Justified,A Day To Remember,0.894,0.376,0.105,0.0433,126.287,0.00132,0.000487,50.0,"['metalcore', 'pop punk', 'rap metal', 'screamo']"
34,73,73,24,Tidal Wave Taking Back Sunday,You Can't Look Back,Taking Back Sunday,0.789,0.6579999999999999,0.0965,0.274,108.012,0.0,0.0298,49.0,"['emo', 'modern rock', 'pop punk', 'pop rock', 'screamo']"
35,74,74,24,Black Honey Thrice ,Black Honey,Thrice,0.892,0.442,0.0758,0.237,151.914,7.92e-06,0.00267,60.0,"['emo', 'modern rock', 'pop punk', 'post-hardcore', 'screamo']"
