gender,age,amount_music,life_enjoyment,resilience,balanced_life,emotional_flex,self_actualization,songs,trauma,id_master,total_health,health_categorical,song_order,id_song,song,artist,energy,dance,liveness,valence,tempo,instrumental,acoustic,popularity,genres
Male,18 - 30,1 - 2,4,3,5,3,6,Too Good Drake,No,0,21,1.0,1,183.0,Too Good,Drake,0.6409999999999999,0.82,0.102,0.395,117.97399999999999,5.07e-05,0.0662,77.0,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
Male,18 - 30,1 - 2,6,6,3,5,5,Put that on my set asap rocky ft skepta,No,1,25,1.0,1,1.0,Put That On My Set (feat. A$AP Rocky & Skepta),ASAP Mob,0.547,0.752,0.107,0.161,111.962,0.00024900000000000004,0.113,52.0,"['hip hop', 'rap', 'southern hip hop', 'trap', 'vapor trap']"
Male,18 - 30,1 - 2,6,6,3,5,5,New level asap ferg,No,1,25,1.0,3,1.0,New Level,A$AP Ferg,0.655,0.526,0.11599999999999999,0.156,121.12700000000001,0.0,0.0566,65.0,"['hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music', 'underground hip hop']"
Female,18 - 30,0 - 1,5,5,4,4,5,Fireproof Coleman Hell,No,2,23,1.0,1,60.0,Fireproof,Coleman Hell,0.774,0.6920000000000001,0.141,0.7709999999999999,128.033,1.0199999999999999e-05,0.0149,47.0,"['canadian pop', 'indie poptimism', 'modern alternative rock', 'modern rock']"
Male,18 - 30,2+,3,6,5,5,5,Eyes Nose Lips TaeYang,No,3,24,1.0,1,3.0,"눈,코,입(Eyes, Nose, Lips)",TAEYANG,0.516,0.631,0.264,0.254,143.77700000000004,0.0,0.738,67.0,"['k-pop', 'korean r&b']"
Male,18 - 30,2+,3,6,5,5,5,Me Like Yuh Jay Park,No,3,24,1.0,2,3.0,Me Like Yuh,Jay Park,0.831,0.715,0.132,0.805,100.006,3.84e-06,0.223,63.0,"['k-hop', 'k-pop', 'korean pop', 'korean r&b']"
Male,18 - 30,2+,3,6,5,5,5,Aquaman Jay Park,No,3,24,1.0,3,3.0,Aquaman,Jay Park,0.87,0.6990000000000001,0.0507,0.7290000000000001,96.945,0.0,0.0856,51.0,"['k-hop', 'k-pop', 'korean pop', 'korean r&b']"
Female,18 - 30,0 - 1,2,5,2,1,5,Sugar Wanderlust,Yes,4,15,0.0,1,4.0,Sweet Sugar,Wanderlust,0.813,0.302,0.368,0.33899999999999997,126.965,0.0827,0.255,0.0,"['peruvian indie', 'peruvian rock']"
Female,18 - 30,0 - 1,2,5,2,1,5,Blue Jeans Lana Del Ray,Yes,4,15,0.0,2,4.0,Blue Jeans,Piano Tribute Players,0.265,0.7240000000000001,0.063,0.244,117.956,0.846,0.9440000000000001,6.0,[]
Female,18 - 30,0 - 1,2,5,2,1,5,Mr. Bright side the killers,Yes,4,15,0.0,3,4.0,Mr. Brightside,The Killers,0.9109999999999999,0.35200000000000004,0.0995,0.23600000000000002,148.033,0.0,0.00121,83.0,"['alternative rock', 'dance rock', 'modern rock', 'permanent wave', 'rock']"
Male,18 - 30,0 - 1,3,4,4,5,6,Look on Up Relient K,No,5,22,1.0,1,5.0,Look on Up,Relient K,0.38299999999999995,0.48,0.125,0.265,169.86900000000003,9.59e-06,0.20199999999999999,38.0,"['canadian ccm', 'ccm', 'christian alternative rock', 'christian music', 'christian punk', 'christian rock', 'neo mellow', 'pop punk', 'pop rock']"
Male,18 - 30,0 - 1,3,4,4,5,6,Money and Fame NeedToBreathe,No,5,22,1.0,2,5.0,MONEY & FAME,NEEDTOBREATHE,0.8909999999999999,0.5539999999999999,0.0905,0.45399999999999996,154.012,1.47e-05,0.0686,52.0,"['acoustic pop', 'ccm', 'christian alternative rock', 'christian music', 'christian rock', 'indiecoustica', 'neo mellow', 'pop rock', 'worship']"
Male,18 - 30,0 - 1,3,4,4,5,6,Awakening Switchfoot,No,5,22,1.0,3,5.0,Awakening,Switchfoot,0.948,0.501,0.128,0.529,125.993,7.240000000000001e-05,0.000509,41.0,"['ccm', 'christian alternative rock', 'christian music', 'christian rock', 'neo mellow', 'pop rock', 'post-grunge', 'worship']"
Male,18 - 30,1 - 2,4,5,2,5,4,Timmy Turner Desiigner,No,6,20,1.0,1,207.0,Tiimmy Turner,Desiigner,0.725,0.602,0.0786,0.304,122.803,0.0,0.174,76.0,"['dwn trap', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']"
Female,18 - 30,1 - 2,4,4,4,4,5,SelfControl Frank Ocean,No,7,21,1.0,1,7.0,Self Control,Frank Ocean,0.209,0.5720000000000001,0.35600000000000004,0.446,80.069,0.0,0.765,74.0,"['alternative r&b', 'hip hop', 'lgbtq+ hip hop', 'neo soul', 'pop']"
Female,18 - 30,1 - 2,4,4,4,4,5,0 to 100/ The Catch Up Drake,No,7,21,1.0,2,7.0,0 To 100 / The Catch Up,Drake,0.7090000000000001,0.7070000000000001,0.27399999999999997,0.501,89.094,0.0,0.763,75.0,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
Male,18 - 30,2+,3,2,4,3,1,Never say never basement jaxx ,No,8,13,0.0,1,87.0,Never Say Never,Basement Jaxx,0.789,0.753,0.325,0.65,126.008,0.111,0.007790000000000002,38.0,"['alternative dance', 'big beat', 'disco house', 'electronic', 'new rave', 'vocal house']"
Male,18 - 30,2+,3,2,4,3,1,Location khalid,No,8,13,0.0,2,87.0,Location,Khalid,0.449,0.736,0.0898,0.326,80.126,0.000162,0.33,86.0,"['indie r&b', 'pop', 'rap']"
Male,18 - 30,2+,3,2,4,3,1,Right here Dave b ,No,8,13,0.0,3,87.0,Right Here,Dave B.,0.41,0.6509999999999999,0.10800000000000001,0.12,128.049,0.0,0.368,52.0,"['indie r&b', 'trap soul', 'underground hip hop']"
Male,18 - 30,2+,2,5,3,5,5,Kids in the Dark,No,9,20,1.0,1,9.0,Kids In The Dark,All Time Low,0.981,0.519,0.0903,0.773,130.039,0.000155,0.0013599999999999999,60.0,"['pop punk', 'post-teen pop']"
Male,18 - 30,2+,2,5,3,5,5,Hurt,No,9,20,1.0,2,9.0,Hurt Feelings,Mac Miller,0.462,0.69,0.113,0.325,157.655,0.00218,0.34299999999999997,82.0,"['hip hop', 'pop rap', 'rap']"
Male,18 - 30,2+,2,5,3,5,5,Angel,No,9,20,1.0,3,9.0,raindrops (an angel cried),Ariana Grande,0.231,0.336,0.188,0.429,168.685,0.0,0.9420000000000001,80.0,"['dance pop', 'pop', 'post-teen pop']"
Female,18 - 30,2+,4,6,6,5,5,No One Mothica (Kayge Calypso & DUNN Remix),No,10,26,1.0,3,10.0,No One - Kayge Calypso & DUNN Remix,Mothica,0.5710000000000001,0.745,0.371,0.319,129.934,0.0,0.6629999999999999,65.0,"['electropop', 'indie electro-pop', 'indie poptimism', 'vapor soul']"
Male,18 - 30,2+,4,5,2,5,5,End of august yanni,Yes,11,21,1.0,3,11.0,The End Of August,Yanni,0.19899999999999998,0.19,0.127,0.126,153.287,0.8690000000000001,0.943,34.0,"['new age', 'operatic pop']"
Male,18 - 30,0 - 1,2,3,2,4,4,Monsoon Tokio Hotel,No,12,15,0.0,1,12.0,Monsoon,Tokio Hotel,0.7340000000000001,0.58,0.196,0.175,111.962,0.0,0.0187,45.0,['german pop rock']
Male,18 - 30,0 - 1,2,3,2,4,4,Imagine the Fire Hans Zimmer,No,12,15,0.0,2,12.0,Imagine the Fire,Hans Zimmer,0.675,0.564,0.11800000000000001,0.145,102.992,0.767,0.16699999999999998,40.0,"['german soundtrack', 'soundtrack']"
